RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1,audio,image
Sundar,1,212,450,9548,9756,646,72.2,RIGHT,36,216,10521986,284,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,560,472,9796,10352,422.9,129.2,RIGHT,36,216,10521986,291,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,424,451,10392,10812,620.3,130,RIGHT,32,216,10521986,309,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,200,469,10848,11044,504.9,98.6,RIGHT,20,216,10521986,323,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,340,450,11068,11404,538.7,52,RIGHT,32,216,10521986,330,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,164,454,11440,11600,637.8,92.8,RIGHT,28,216,10521986,341,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,224,458,11632,11852,706.2,105.2,RIGHT,28,216,10521986,347,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,640,470,11884,12520,617.3,101.4,RIGHT,28,216,10521986,354,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,388,447,12552,12936,691.6,94.2,RIGHT,28,216,10521986,374,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,792,451,12968,13756,602.4,101.9,RIGHT,32,216,10521986,387,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,660,480,13792,14448,688.2,126.5,RIGHT,28,216,10521986,411,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,1008,508,14480,15484,599,103,RIGHT,28,216,10521986,432,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
