RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1
Brendan,1,448,214,20440,20884,695.2,438.1,RIGHT,64,189,9682126,611,HandS.mp4,9682126,9753247,71000
Brendan,1,264,227,20952,21212,328.7,182.3,RIGHT,20,189,9682126,626,HandS.mp4,9682126,9753247,71000
Brendan,1,868,221,21236,22100,340.1,140.8,RIGHT,24,189,9682126,635,HandS.mp4,9682126,9753247,71000
Brendan,1,156,223,22128,22280,405.9,173.3,RIGHT,56,189,9682126,661,HandS.mp4,9682126,9753247,71000
Brendan,1,28,215,22340,22364,365.4,482.8,RIGHT,392,189,9682126,668,HandS.mp4,9682126,9753247,71000
Brendan,1,104,203,22760,22860,324.5,480.1,RIGHT,160,189,9682126,680,HandS.mp4,9682126,9753247,71000
Brendan,1,112,197,23024,23132,321.4,483.3,RIGHT,16,189,9682126,688,HandS.mp4,9682126,9753247,71000
Brendan,1,496,193,23152,23644,296.5,493.4,RIGHT,16,189,9682126,692,HandS.mp4,9682126,9753247,71000
Brendan,1,400,198,23664,24060,329.3,489.2,RIGHT,160,189,9682126,707,HandS.mp4,9682126,9753247,71000
Brendan,1,536,202,24224,24756,466.9,503.2,RIGHT,124,189,9682126,724,HandS.mp4,9682126,9753247,71000
Brendan,1,612,213,24884,25492,345.7,496.3,RIGHT,20,189,9682126,744,HandS.mp4,9682126,9753247,71000
Brendan,1,520,216,25516,26032,305.2,492.3,RIGHT,44,189,9682126,763,HandS.mp4,9682126,9753247,71000
Brendan,1,368,214,26080,26444,388.9,237.6,RIGHT,36,189,9682126,780,HandS.mp4,9682126,9753247,71000
Brendan,1,232,212,26484,26712,497,388.1,RIGHT,32,189,9682126,792,HandS.mp4,9682126,9753247,71000
Brendan,1,172,214,26748,26916,375.2,432.3,RIGHT,24,189,9682126,800,HandS.mp4,9682126,9753247,71000
Brendan,1,152,212,26944,27092,330.6,472.1,RIGHT,56,189,9682126,806,HandS.mp4,9682126,9753247,71000
Brendan,1,204,218,27152,27352,334.3,130.8,RIGHT,20,189,9682126,812,HandS.mp4,9682126,9753247,71000
Brendan,1,180,221,27376,27552,366.9,151.2,RIGHT,48,189,9682126,819,HandS.mp4,9682126,9753247,71000
Brendan,1,440,219,27604,28040,340,485,RIGHT,24,189,9682126,826,HandS.mp4,9682126,9753247,71000
Brendan,1,504,218,28068,28568,305,513.7,RIGHT,24,189,9682126,840,HandS.mp4,9682126,9753247,71000
Brendan,1,24,217,28596,28616,218.7,522.8,RIGHT,464,189,9682126,855,HandS.mp4,9682126,9753247,71000
Brendan,1,352,212,29084,29432,383.5,267.8,RIGHT,28,189,9682126,870,HandS.mp4,9682126,9753247,71000
Brendan,1,192,216,29464,29652,278.8,196.7,RIGHT,24,189,9682126,881,HandS.mp4,9682126,9753247,71000
Brendan,1,164,215,29680,29840,347.2,182.7,RIGHT,20,189,9682126,888,HandS.mp4,9682126,9753247,71000
Brendan,1,256,221,29864,30116,300.4,168.5,RIGHT,144,189,9682126,893,HandS.mp4,9682126,9753247,71000
Brendan,1,144,203,30264,30404,702.5,528.7,RIGHT,24,189,9682126,905,HandS.mp4,9682126,9753247,71000
Brendan,1,128,211,30432,30556,774.9,528.2,RIGHT,40,189,9682126,910,HandS.mp4,9682126,9753247,71000
Brendan,1,204,217,30600,30800,738.1,319.3,RIGHT,64,189,9682126,915,HandS.mp4,9682126,9753247,71000
Brendan,1,212,222,30868,31076,290.4,171.3,RIGHT,64,189,9682126,924,HandS.mp4,9682126,9753247,71000
Brendan,1,268,217,31144,31408,727.5,204.1,RIGHT,32,189,9682126,932,HandS.mp4,9682126,9753247,71000
Brendan,1,196,215,31444,31636,910.9,334.7,RIGHT,32,189,9682126,941,HandS.mp4,9682126,9753247,71000
Brendan,1,184,204,31672,31852,996.5,535.2,RIGHT,32,189,9682126,948,HandS.mp4,9682126,9753247,71000
Brendan,1,148,204,31888,32032,1073.6,644,RIGHT,32,189,9682126,954,HandS.mp4,9682126,9753247,71000
Brendan,1,152,201,32068,32216,941.9,576.9,RIGHT,36,189,9682126,960,HandS.mp4,9682126,9753247,71000
Brendan,1,84,187,32256,32336,741.1,550.3,RIGHT,136,189,9682126,965,HandS.mp4,9682126,9753247,71000
Brendan,1,148,193,32476,32620,263,561.2,RIGHT,880,189,9682126,972,HandS.mp4,9682126,9753247,71000
Brendan,1,200,182,33504,33700,298,569.8,RIGHT,48,189,9682126,1003,HandS.mp4,9682126,9753247,71000
Brendan,1,172,197,33752,33920,354.1,312.3,RIGHT,36,189,9682126,1010,HandS.mp4,9682126,9753247,71000
Brendan,1,688,205,33960,34644,347.1,150.8,RIGHT,44,189,9682126,1016,HandS.mp4,9682126,9753247,71000
Brendan,1,280,218,34692,34968,241.9,383.4,RIGHT,36,189,9682126,1038,HandS.mp4,9682126,9753247,71000
Brendan,1,572,218,35008,35576,310.5,209.5,RIGHT,20,189,9682126,1048,HandS.mp4,9682126,9753247,71000
Brendan,1,616,225,35600,36212,341.3,174,RIGHT,20,189,9682126,1065,HandS.mp4,9682126,9753247,71000
Brendan,1,292,217,36236,36524,390.2,208.2,RIGHT,24,189,9682126,1085,HandS.mp4,9682126,9753247,71000
Brendan,1,136,214,36552,36684,337.1,211.6,RIGHT,24,189,9682126,1094,HandS.mp4,9682126,9753247,71000
Brendan,1,152,210,36712,36860,403.7,199.3,RIGHT,24,189,9682126,1099,HandS.mp4,9682126,9753247,71000
Brendan,1,324,208,36888,37208,353.2,194.1,RIGHT,20,189,9682126,1104,HandS.mp4,9682126,9753247,71000
Brendan,1,160,205,37232,37388,294.8,218.8,RIGHT,20,189,9682126,1114,HandS.mp4,9682126,9753247,71000
Brendan,1,168,200,37412,37576,332.1,232.7,RIGHT,24,189,9682126,1120,HandS.mp4,9682126,9753247,71000
Brendan,1,372,200,37604,37972,251.4,265.1,RIGHT,20,189,9682126,1126,HandS.mp4,9682126,9753247,71000
Brendan,1,244,197,37996,38236,192.2,268.9,RIGHT,24,189,9682126,1137,HandS.mp4,9682126,9753247,71000
Brendan,1,236,191,38264,38496,251.9,273.1,RIGHT,40,189,9682126,1145,HandS.mp4,9682126,9753247,71000
Brendan,1,140,183,38540,38676,372.8,356.7,RIGHT,24,189,9682126,1154,HandS.mp4,9682126,9753247,71000
Brendan,1,152,180,38704,38852,317.5,408.3,RIGHT,24,189,9682126,1159,HandS.mp4,9682126,9753247,71000
Brendan,1,152,174,38880,39028,347.3,463.4,RIGHT,20,189,9682126,1164,HandS.mp4,9682126,9753247,71000
Brendan,1,656,172,39052,39704,313.9,492.4,RIGHT,16,189,9682126,1169,HandS.mp4,9682126,9753247,71000
Brendan,1,148,171,39724,39868,289.3,492.1,RIGHT,20,189,9682126,1189,HandS.mp4,9682126,9753247,71000
Brendan,1,184,171,39892,40072,327,490.7,RIGHT,16,189,9682126,1194,HandS.mp4,9682126,9753247,71000
Brendan,1,244,174,40092,40332,299,489.8,RIGHT,20,189,9682126,1200,HandS.mp4,9682126,9753247,71000
Brendan,1,592,179,40356,40944,334,452.4,RIGHT,24,189,9682126,1208,HandS.mp4,9682126,9753247,71000
Brendan,1,524,184,40972,41492,301.6,419.4,RIGHT,32,189,9682126,1227,HandS.mp4,9682126,9753247,71000
Brendan,1,200,192,41528,41724,209.7,327.8,RIGHT,24,189,9682126,1243,HandS.mp4,9682126,9753247,71000
Brendan,1,160,189,41752,41908,261.4,324.4,RIGHT,24,189,9682126,1250,HandS.mp4,9682126,9753247,71000
Brendan,1,920,191,41936,42852,225.4,319.1,RIGHT,16,189,9682126,1256,HandS.mp4,9682126,9753247,71000
Brendan,1,232,191,42872,43100,248.9,285.1,RIGHT,20,189,9682126,1284,HandS.mp4,9682126,9753247,71000
Brendan,1,288,190,43124,43408,299.7,250.9,RIGHT,20,189,9682126,1291,HandS.mp4,9682126,9753247,71000
Brendan,1,244,194,43432,43672,260.1,239.9,RIGHT,24,189,9682126,1300,HandS.mp4,9682126,9753247,71000
Brendan,1,140,196,43700,43836,210.5,241.6,RIGHT,28,189,9682126,1308,HandS.mp4,9682126,9753247,71000
Brendan,1,332,192,43868,44196,309.8,185.5,RIGHT,20,189,9682126,1314,HandS.mp4,9682126,9753247,71000
Brendan,1,152,188,44220,44368,347.7,160.2,RIGHT,16,189,9682126,1324,HandS.mp4,9682126,9753247,71000
Brendan,1,240,185,44388,44624,324,151.6,RIGHT,16,189,9682126,1329,HandS.mp4,9682126,9753247,71000
Brendan,1,168,181,44644,44808,348.1,155.2,RIGHT,16,189,9682126,1337,HandS.mp4,9682126,9753247,71000
